Area,LAT,LON,BID,Pop
32821,40.0879921,-88.2060978,3008,85
11034,40.1060396,-88.2055642,5024,4
4118,40.1078986,-88.2007718,4036,9
10489,40.1131537,-88.2185633,3013,365
23361,40.099748,-88.1968726,3009,140
18523,40.0786339,-88.1838178,1022,142
37435,40.0923909,-88.1999754,2008,26
135802,40.136693,-88.1913012,3034,33
278,40.1058017,-88.1765241,3029,45
3758,40.1161946,-88.2042903,1005,2
20206,40.0888542,-88.1953756,4034,23
12957,40.0849406,-88.1959797,4021,118
18954,40.1027608,-88.1732642,5008,43
11370,40.1119838,-88.2096449,1035,29
45696,40.0846013,-88.197976,4031,59
35731,40.1020125,-88.1978584,3006,117
9048,40.1268256,-88.2271774,3001,7
441,40.1048487,-88.1768961,1018,22
31668,40.1038823,-88.1793492,5010,66
6391,40.1205028,-88.2264451,3031,54
14004,40.0899028,-88.2050991,3007,73
139563,40.1023337,-88.2266018,2006,13
27305,40.1012872,-88.1828374,1021,31
3590,40.1092754,-88.2138298,2019,22
3706,40.1080307,-88.2059825,5011,36
38639,40.1032377,-88.1787385,5011,36
4374,40.1114683,-88.1759758,3007,73
47403,40.0762903,-88.1909399,1027,39
11803,40.1148689,-88.2138033,1019,78
8031,40.1096599,-88.2019417,1042,11
8232,40.1104332,-88.200833,1030,32
6692,40.1068452,-88.2095394,3017,90
10874,40.1094434,-88.2168767,2010,14
20140,40.1066736,-88.2007608,4037,43
5634,40.108947,-88.2124503,3002,116
8244,40.1081371,-88.1962712,4034,23
10673,40.1252892,-88.2059326,2006,13
9331,40.1095198,-88.2110311,2014,9
10313,40.1189132,-88.2263761,4013,35
